mcp-google-sheets-1  | 2026-05-08 05:09:17,729 DEBUG mcp_google_sheets.server get_sheet_data took 2.164s
mcp-google-sheets-1  | 2026-05-08 05:09:30,926 DEBUG mcp_google_sheets.server get_sheet_data took 0.350s
mcp-google-sheets-1  | 2026-05-08 05:10:02,348 DEBUG mcp_google_sheets.server get_sheet_data took 0.285s
mcp-google-sheets-1  | 2026-05-08 05:11:11,691 DEBUG mcp_google_sheets.server get_sheet_data took 0.345s
mcp-google-sheets-1  | 2026-05-08 05:11:19,776 DEBUG mcp_google_sheets.server get_sheet_data took 0.398s
mcp-google-sheets-1  | 2026-05-08 05:22:30,299 DEBUG mcp_google_sheets.server update_cells took 0.621s
mcp-google-sheets-1  | 2026-05-08 05:24:43,260 DEBUG mcp_google_sheets.server batch_update_cells took 0.509s
mcp-google-sheets-1  | 2026-05-08 05:30:15,751 DEBUG mcp_google_sheets.server list_sheets took 0.482s
mcp-google-sheets-1  | 2026-05-08 05:31:35,290 DEBUG mcp_google_sheets.server get_sheet_data took 0.411s
mcp-google-sheets-1  | 2026-05-08 05:39:11,881 DEBUG mcp_google_sheets.server batch_update_cells took 0.487s
mcp-google-sheets-1  | 2026-05-08 05:39:27,959 DEBUG mcp_google_sheets.server batch_update_cells took 0.334s
mcp-google-sheets-1  | 2026-05-08 05:55:57,229 DEBUG mcp_google_sheets.server batch_update_cells took 0.759s
mcp-google-sheets-1  | 2026-05-08 05:56:42,490 DEBUG mcp_google_sheets.server batch_update_cells took 0.338s
mcp-google-sheets-1  | 2026-05-08 05:58:12,514 DEBUG mcp_google_sheets.server batch_update_cells took 0.436s
mcp-google-sheets-1  | 2026-05-08 05:58:38,106 DEBUG mcp_google_sheets.server get_sheet_data took 0.421s
mcp-google-sheets-1  | 2026-05-08 05:59:54,813 DEBUG mcp_google_sheets.server get_sheet_data took 0.279s
mcp-google-sheets-1  | 2026-05-08 06:00:32,097 DEBUG mcp_google_sheets.server get_sheet_data took 0.279s
mcp-google-sheets-1  | 2026-05-08 06:00:40,335 DEBUG mcp_google_sheets.server batch_update_cells took 0.381s
